symptom,description,category,overlap
symptom_0,Auto-generated description for symptom_0,stress,0.59
symptom_1,Auto-generated description for symptom_1,sleep_issues,0.49
symptom_2,Auto-generated description for symptom_2,trauma,0.45
symptom_3,Auto-generated description for symptom_3,stress,0.12
symptom_4,Auto-generated description for symptom_4,trauma,0.42
symptom_5,Auto-generated description for symptom_5,anxiety,0.43
symptom_6,Auto-generated description for symptom_6,anxiety,0.12
symptom_7,Auto-generated description for symptom_7,anger,0.46
symptom_8,Auto-generated description for symptom_8,loneliness,0.54
symptom_9,Auto-generated description for symptom_9,loneliness,0.31
symptom_10,Auto-generated description for symptom_10,loneliness,0.5
symptom_11,Auto-generated description for symptom_11,stress,0.44
symptom_12,Auto-generated description for symptom_12,loneliness,0.18
symptom_13,Auto-generated description for symptom_13,depression,0.52
symptom_14,Auto-generated description for symptom_14,depression,0.56
symptom_15,Auto-generated description for symptom_15,stress,0.38
symptom_16,Auto-generated description for symptom_16,anger,0.15
symptom_17,Auto-generated description for symptom_17,mood_instability,0.21
symptom_18,Auto-generated description for symptom_18,trauma,0.58
symptom_19,Auto-generated description for symptom_19,trauma,0.16
symptom_20,Auto-generated description for symptom_20,trauma,0.15
symptom_21,Auto-generated description for symptom_21,trauma,0.46
symptom_22,Auto-generated description for symptom_22,trauma,0.16
symptom_23,Auto-generated description for symptom_23,trauma,0.46
symptom_24,Auto-generated description for symptom_24,sleep_issues,0.21
symptom_25,Auto-generated description for symptom_25,depression,0.59
symptom_26,Auto-generated description for symptom_26,depression,0.23
symptom_27,Auto-generated description for symptom_27,anxiety,0.4
symptom_28,Auto-generated description for symptom_28,sleep_issues,0.53
symptom_29,Auto-generated description for symptom_29,sleep_issues,0.43
symptom_30,Auto-generated description for symptom_30,stress,0.16
symptom_31,Auto-generated description for symptom_31,anger,0.19
symptom_32,Auto-generated description for symptom_32,sleep_issues,0.52
symptom_33,Auto-generated description for symptom_33,stress,0.5
symptom_34,Auto-generated description for symptom_34,trauma,0.34
symptom_35,Auto-generated description for symptom_35,mood_instability,0.49
symptom_36,Auto-generated description for symptom_36,loneliness,0.38
symptom_37,Auto-generated description for symptom_37,stress,0.11
