symptom,category,description,severity_hint,overlap_groups
elevated_energy_0,bipolar,sharp increase in energy levels (variant 0),mild,bipolar.energy
worthlessness_1,depression,feelings of worthlessness (variant 1),moderate,mood.value
symmetry_needs_2,OCD,urge for symmetry and exactness (variant 2),severe,ocd.order
depressive_crash_3,bipolar,abrupt drop into depressive symptoms (variant 3),mild,bipolar.depression
blushing_4,social_anxiety,excessive blushing in social situations (variant 4),moderate,social.physical
flashbacks_5,PTSD,sudden intrusive trauma memories (variant 5),moderate,ptsd.intrusion
avoidance_triggers_6,PTSD,avoiding trauma-related cues (variant 6),mild,ptsd.avoid
hyperventilation_7,panic_disorder,breathing rapidly during episodes (variant 7),severe,panic.breath
depressive_crash_8,bipolar,abrupt drop into depressive symptoms (variant 8),moderate,bipolar.depression
contamination_fear_9,OCD,fear of contamination or germs (variant 9),moderate,ocd.fear
burnout_signs_10,stress,classic burnout symptoms (variant 10),mild,stress.burnout
lack_of_connection_11,loneliness,difficulty connecting with others (variant 11),mild,lonely.social
sweating_12,panic_disorder,sudden sweating during panic attacks (variant 12),moderate,panic.physical
social_avoidance_13,social_anxiety,avoiding social interactions (variant 13),moderate,social.avoid
overthinking_14,stress,excessive thinking patterns (variant 14),severe,stress.cognitive
self_doubt_15,depression,frequent self-doubting thoughts (variant 15),severe,mood.self
detachment_16,burnout,emotional distance from work life (variant 16),mild,burnout.emotion
burnout_signs_17,stress,classic burnout symptoms (variant 17),mild,stress.burnout
avoidance_triggers_18,PTSD,avoiding trauma-related cues (variant 18),mild,ptsd.avoid
fear_of_judgment_19,social_anxiety,fear of negative evaluation (variant 19),severe,social.fear
dizziness_20,anxiety,feeling dizzy during tense moments (variant 20),moderate,anxiety.physical
nightmares_21,PTSD,trauma-related nightmares (variant 21),severe,ptsd.sleep
fear_of_judgment_22,social_anxiety,fear of negative evaluation (variant 22),moderate,social.fear
restlessness_23,anxiety,persistent restless feelings (variant 23),mild,anxiety.general
exhaustion_24,burnout,deep exhaustion from overwork (variant 24),mild,burnout.energy
dizziness_25,anxiety,feeling dizzy during tense moments (variant 25),mild,anxiety.physical
worthlessness_26,depression,feelings of worthlessness (variant 26),severe,mood.value
impulsiveness_27,ADHD,acting without thinking (variant 27),mild,adhd.impulse
easy_distractibility_28,ADHD,difficulty staying focused (variant 28),mild,adhd.attention
elevated_energy_29,bipolar,sharp increase in energy levels (variant 29),severe,bipolar.energy
emotional_numbness_30,PTSD,feeling emotionally disconnected (variant 30),moderate,ptsd.emotion
muscle_tension_31,stress,tight muscles caused by stress (variant 31),severe,stress.physical
social_avoidance_32,social_anxiety,avoiding social interactions (variant 32),moderate,social.avoid
obsessive_thoughts_33,OCD,repeating intrusive thoughts (variant 33),moderate,ocd.obsession
elevated_energy_34,bipolar,sharp increase in energy levels (variant 34),moderate,bipolar.energy
fear_of_judgment_35,social_anxiety,fear of negative evaluation (variant 35),moderate,social.fear
overthinking_36,stress,excessive thinking patterns (variant 36),moderate,stress.cognitive
worthlessness_37,depression,feelings of worthlessness (variant 37),severe,mood.value
low_energy_38,depression,persistent low energy affecting daily life (variant 38),moderate,mood.low
depressive_crash_39,bipolar,abrupt drop into depressive symptoms (variant 39),mild,bipolar.depression
dizziness_40,anxiety,feeling dizzy during tense moments (variant 40),moderate,anxiety.physical
social_avoidance_41,social_anxiety,avoiding social interactions (variant 41),severe,social.avoid
depressive_crash_42,bipolar,abrupt drop into depressive symptoms (variant 42),mild,bipolar.depression
reduced_performance_43,burnout,decline in professional efficiency (variant 43),mild,burnout.performance
blushing_44,social_anxiety,excessive blushing in social situations (variant 44),moderate,social.physical
muscle_tension_45,stress,tight muscles caused by stress (variant 45),mild,stress.physical
elevated_energy_46,bipolar,sharp increase in energy levels (variant 46),severe,bipolar.energy
hopelessness_47,depression,feeling that nothing will improve (variant 47),mild,mood.hopeless
hyperventilation_48,panic_disorder,breathing rapidly during episodes (variant 48),moderate,panic.breath
fast_heartbeat_49,anxiety,rapid heartbeats during stress (variant 49),severe,anxiety.physical
impulsiveness_50,ADHD,acting without thinking (variant 50),moderate,adhd.impulse
social_avoidance_51,social_anxiety,avoiding social interactions (variant 51),moderate,social.avoid
emotional_numbness_52,PTSD,feeling emotionally disconnected (variant 52),mild,ptsd.emotion
sweating_53,panic_disorder,sudden sweating during panic attacks (variant 53),moderate,panic.physical
low_energy_54,depression,persistent low energy affecting daily life (variant 54),mild,mood.low
fidgeting_55,ADHD,inability to stay still (variant 55),severe,adhd.behavior
risky_behavior_56,bipolar,risk-taking behaviors (variant 56),severe,bipolar.impulse
fear_of_losing_control_57,panic_disorder,fear of losing control in public (variant 57),severe,panic.fear
detachment_58,burnout,emotional distance from work life (variant 58),moderate,burnout.emotion
sweating_59,panic_disorder,sudden sweating during panic attacks (variant 59),severe,panic.physical
rapid_speech_60,bipolar,very fast and pressured speech (variant 60),severe,bipolar.mania
tight_chest_61,anxiety,chest tightness during anxious moments (variant 61),severe,anxiety.somatic
hyperventilation_62,panic_disorder,breathing rapidly during episodes (variant 62),severe,panic.breath
emotional_numbness_63,PTSD,feeling emotionally disconnected (variant 63),moderate,ptsd.emotion
symmetry_needs_64,OCD,urge for symmetry and exactness (variant 64),moderate,ocd.order
rapid_speech_65,bipolar,very fast and pressured speech (variant 65),moderate,bipolar.mania
fidgeting_66,ADHD,inability to stay still (variant 66),severe,adhd.behavior
exhaustion_67,burnout,deep exhaustion from overwork (variant 67),mild,burnout.energy
restlessness_68,anxiety,persistent restless feelings (variant 68),mild,anxiety.general
dizziness_69,anxiety,feeling dizzy during tense moments (variant 69),moderate,anxiety.physical
social_avoidance_70,social_anxiety,avoiding social interactions (variant 70),moderate,social.avoid
fast_heartbeat_71,anxiety,rapid heartbeats during stress (variant 71),moderate,anxiety.physical
nightmares_72,PTSD,trauma-related nightmares (variant 72),severe,ptsd.sleep
emotional_numbness_73,PTSD,feeling emotionally disconnected (variant 73),mild,ptsd.emotion
hyperventilation_74,panic_disorder,breathing rapidly during episodes (variant 74),moderate,panic.breath
restlessness_75,anxiety,persistent restless feelings (variant 75),moderate,anxiety.general
rapid_speech_76,bipolar,very fast and pressured speech (variant 76),mild,bipolar.mania
self_doubt_77,depression,frequent self-doubting thoughts (variant 77),mild,mood.self
fear_of_judgment_78,social_anxiety,fear of negative evaluation (variant 78),severe,social.fear
burnout_signs_79,stress,classic burnout symptoms (variant 79),moderate,stress.burnout
checking_behavior_80,OCD,checking locks or stoves repeatedly (variant 80),moderate,ocd.compulsion
risky_behavior_81,bipolar,risk-taking behaviors (variant 81),severe,bipolar.impulse
depressive_crash_82,bipolar,abrupt drop into depressive symptoms (variant 82),mild,bipolar.depression
crying_spells_83,depression,unexpected crying spells (variant 83),mild,mood.tears
isolation_feelings_84,loneliness,persistent feeling of isolation (variant 84),mild,lonely.emotion
reduced_performance_85,burnout,decline in professional efficiency (variant 85),mild,burnout.performance
impulsiveness_86,ADHD,acting without thinking (variant 86),mild,adhd.impulse
fear_of_judgment_87,social_anxiety,fear of negative evaluation (variant 87),moderate,social.fear
sweating_88,panic_disorder,sudden sweating during panic attacks (variant 88),moderate,panic.physical
detachment_89,burnout,emotional distance from work life (variant 89),severe,burnout.emotion
poor_sleep_90,depression,sleep difficulties linked to mood issues (variant 90),moderate,mood.sleep
isolation_feelings_91,loneliness,persistent feeling of isolation (variant 91),severe,lonely.emotion
risky_behavior_92,bipolar,risk-taking behaviors (variant 92),moderate,bipolar.impulse
low_energy_93,depression,persistent low energy affecting daily life (variant 93),moderate,mood.low
impulsiveness_94,ADHD,acting without thinking (variant 94),mild,adhd.impulse
social_avoidance_95,social_anxiety,avoiding social interactions (variant 95),mild,social.avoid
easy_distractibility_96,ADHD,difficulty staying focused (variant 96),mild,adhd.attention
social_avoidance_97,social_anxiety,avoiding social interactions (variant 97),mild,social.avoid
depressive_crash_98,bipolar,abrupt drop into depressive symptoms (variant 98),mild,bipolar.depression
forgetfulness_99,ADHD,consistently forgetting tasks (variant 99),severe,adhd.memory
fear_of_judgment_100,social_anxiety,fear of negative evaluation (variant 100),moderate,social.fear
symmetry_needs_101,OCD,urge for symmetry and exactness (variant 101),severe,ocd.order
hyperventilation_102,panic_disorder,breathing rapidly during episodes (variant 102),moderate,panic.breath
worthlessness_103,depression,feelings of worthlessness (variant 103),mild,mood.value
flashbacks_104,PTSD,sudden intrusive trauma memories (variant 104),mild,ptsd.intrusion
impulsiveness_105,ADHD,acting without thinking (variant 105),severe,adhd.impulse
checking_behavior_106,OCD,checking locks or stoves repeatedly (variant 106),mild,ocd.compulsion
sweating_107,panic_disorder,sudden sweating during panic attacks (variant 107),severe,panic.physical
elevated_energy_108,bipolar,sharp increase in energy levels (variant 108),mild,bipolar.energy
reduced_performance_109,burnout,decline in professional efficiency (variant 109),moderate,burnout.performance
flashbacks_110,PTSD,sudden intrusive trauma memories (variant 110),severe,ptsd.intrusion
lack_of_connection_111,loneliness,difficulty connecting with others (variant 111),severe,lonely.social
depressive_crash_112,bipolar,abrupt drop into depressive symptoms (variant 112),severe,bipolar.depression
fear_of_judgment_113,social_anxiety,fear of negative evaluation (variant 113),moderate,social.fear
lack_of_connection_114,loneliness,difficulty connecting with others (variant 114),mild,lonely.social
hopelessness_115,depression,feeling that nothing will improve (variant 115),severe,mood.hopeless
flashbacks_116,PTSD,sudden intrusive trauma memories (variant 116),severe,ptsd.intrusion
checking_behavior_117,OCD,checking locks or stoves repeatedly (variant 117),moderate,ocd.compulsion
avoidance_triggers_118,PTSD,avoiding trauma-related cues (variant 118),severe,ptsd.avoid
exhaustion_119,burnout,deep exhaustion from overwork (variant 119),mild,burnout.energy
symmetry_needs_120,OCD,urge for symmetry and exactness (variant 120),moderate,ocd.order
self_doubt_121,depression,frequent self-doubting thoughts (variant 121),moderate,mood.self
detachment_122,burnout,emotional distance from work life (variant 122),mild,burnout.emotion
depressive_crash_123,bipolar,abrupt drop into depressive symptoms (variant 123),severe,bipolar.depression
self_doubt_124,depression,frequent self-doubting thoughts (variant 124),moderate,mood.self
risky_behavior_125,bipolar,risk-taking behaviors (variant 125),severe,bipolar.impulse
contamination_fear_126,OCD,fear of contamination or germs (variant 126),mild,ocd.fear
worthlessness_127,depression,feelings of worthlessness (variant 127),moderate,mood.value
impulsiveness_128,ADHD,acting without thinking (variant 128),severe,adhd.impulse
trembling_129,panic_disorder,full-body trembling (variant 129),mild,panic.somatic
